boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Brooklyn,Surf Playground,21888,0,0.93
Brooklyn,Surfside Garden,0,0,0.69
Brooklyn,Sutter Ballfields,6398,0,1.84
Manhattan,Sutton Parks,17296,0,0.85
Manhattan,Sutton Place Park,998,0,0.27
Staten Island,Sylvan Grove Cemetery,2968,0,2.48
Bronx,Synergi Urban Garden Ucfp,0,0,0.34
Brooklyn,Taaffe Playground,18285,0,1.82
Queens,Tall Oak Playground,5259,0,1.48
Manhattan,Tanahey Playground,7796,0,1.25
Staten Island,Tappen Park,8472,0,1.78
Bronx,Taqwa Community Farm,507,0,0.49
Staten Island,Targee Street Triangle,0,0,0.21
Bronx,Taylor Playground,13895,0,1.58
Bronx,Taylor-Soundview Block Assoc. Garden,0,0,0.13
Queens,Technical Sergeant Thomas J. Davey Triangle,2377,0,0.13
Manhattan,Tecumseh Playground,37376,0,0.74
Queens,Telephone Playground,13494,0,1.06
Brooklyn,Ten Eyck Houses Garden,0,0,0.11
Brooklyn,Ten Eyck Playground,4464,0,1.
Brooklyn,Ten Eyck Plaza,5745,0,0.46
Queens,Tepper Triangle,312,0,0.2
Staten Island,Terrace Playground,13993,0,1.92
Brooklyn,The Amazing Garden,0,0,0.1
Brooklyn,The Backyard,0,0,0.23
Manhattan,The Battery,45736,1358909,21.88
Staten Island,The Big Park,6663,0,3.01
Manhattan,The Creative Little Garden,5,0,0.06
Brooklyn,The Cyclone,0,0,1.17
Brooklyn,The Feeding Tree,0,0,0.04
Manhattan,The High Line,69907,0,6.73
Queens,The Olde Towne Of Flushing Burial Ground,11539,0,3.47
Queens,The Painter's Playground,21748,0,1.7
Bronx,The Pearly Gates,41835,0,0.66
Manhattan,The Public Theater,1149,0,0.72
Manhattan,The Queen Elizabeth II September 11th Garden,7914,0,0.12
Manhattan,The Secret Garden,5,0,0.05
Manhattan,Theodore Roosevelt Park,70319,0,17.58
Brooklyn,Thomas Boyland Park,16385,0,1.82
Brooklyn,Thomas Greene Playground,147296,0,2.53
Brooklyn,Thomas J. Cuite Park,9019,0,0.49
Manhattan,Thomas Jefferson Park,108312,0,15.52
Manhattan,Thomas Paine Park,61661,0,1.88
Bronx,Thorpe Family Playground,5424,0,0.2
Bronx,Throgs Neck Park,0,0,0.44
Queens,Thursby Basin Park,0,0,1.66
Bronx,Tiffany Playground,19244,0,1.21
Bronx,Tiffany Street Pier,0,0,4.23
Brooklyn,Tiger Playground,20366,0,0.93
Brooklyn,Tilden Playground,22972,0,1.19
Brooklyn,Tlc Sculpture Park Garden,0,0,0.17
Brooklyn,Todd Triangle,9436,0,0.04
Brooklyn,Tom Mcdonald Triangle,1473,0,0.03
Manhattan,Tompkins Square Park,54270,5000,10.5
Staten Island,Tompkinsville Park,10099,0,0.42
Manhattan,Tony Dapolito Recreation Center,9321,2500,0.21
Queens,Torsney Playground,56161,0,2.03
Staten Island,Tottenville Pool,35486,0,3.26
Staten Island,Tottenville Shore Park,117,0,9.18
Bronx,Townsend Garden,0,0,0.15
Bronx,Townsend Walk,3250,0,0.04
Manhattan,Tramway Plaza,4913,0,0.45
Brooklyn,Tranquility Farm,0,0,0.12
Queens,Travers Park,39034,0,1.92
Queens,Travis Triangle,930,0,0.22
Bronx,Tremont Park,109960,0,15.
Bronx,Triangle,481,0,0.05
Brooklyn,Triangle,455,0,0.02
Brooklyn,Triangle,364,0,0.02
Queens,Triangle 90,1031,0,0.01
Brooklyn,Triangle Three Sixteen,2522,0,0.28
Manhattan,Tribeca Dog Run,993,0,0.1
Manhattan,Tribeca Park,5084,0,0.32
Manhattan,Triboro Plaza,5856,0,2.3
Queens,Triborough Bridge Playground B,16215,0,1.3
Queens,Triborough Bridge Playground C,6946,0,0.46
Queens,Triborough Bridge Playground D,1755,0,0.46
Queens,Triborough Bridge Playground E,780,0,0.46
Queens,Tribute Park,4026,0,0.83
Brooklyn,Trinity Park,6625,0,6.3
Queens,Trolley Car Triangle,1150,0,0.03
Manhattan,Truce Garden,0,0,0.12
Brooklyn,Trust Triangle,1300,0,0.08
Manhattan,Trygve Lie Plaza,6831,0,0.1
Brooklyn,Tucker Place,3502,0,0.16
Manhattan,Tudor Grove Playground,14433,0,0.42
Queens,Tudor Malls,4394,0,0.14
Queens,Tudor Park,48642,0,13.54
Queens,Turtle Playground,2348,0,0.48
Manhattan,Twenty-Four Sycamores Park,64216,0,0.62
Queens,Two Coves Community Garden,3252,0,0.78
Queens,Udall's Park Preserve,6126,0,44.07
Brooklyn,Umma Park,7768,0,0.23
Brooklyn,Umoja Garden,0,0,0.21
Queens,Underbridge Dog Run,2599,0,0.46
Brooklyn,Underhill Playground,25234,0,0.59
Brooklyn,Underwood Park,42328,0,1.19
Manhattan,Union Square Park,469112,11000,6.51
Manhattan,United Block Association Garden,0,0,0.08
Brooklyn,United Community Center Garden,0,0,0.53
Brooklyn,United Community Centers - E New York Farms Project,0,0,0.55
Brooklyn,United Community Centers YouthFarm,0,0,0.14
Bronx,United We Stand Garden,0,0,0.34
Manhattan,Unity Gardens,0,0,0.13
Bronx,University Malls,5183,0,0.74
Brooklyn,University Place,420,0,1.16
Bronx,University Woods,6161,0,3.31
Brooklyn,Upon This Rock Comm Garden,0,0,0.08
Manhattan,Urban Botanical Soc./Sam And Sadie Koenig Garden,5,0,0.03
Queens,Utopia Playground,11846,0,2.98
Bronx,Valentine Varian House,873,0,0.46
Brooklyn,Valentino Pier,10730,56000,4.53
Manhattan,Vamos Sembrar,5,0,0.02
Queens,Van Alst Playground,14408,0,1.03
Bronx,Van Cortlandt Park,549162,116477,1146.43
Bronx,Van Cortlandt's Tail,3830,0,0.35
Brooklyn,Van Dyke Playground,12440,0,1.4
Bronx,Van Nest Park,7613,0,0.4
Brooklyn,Van Voorhees Playground,43951,0,5.74
Manhattan,Verdi Square,35472,0,0.1
Queens,Vernam Barbadoes Peninsula,0,0,27.48
Queens,Vernon Mall,2691,0,0.14
Brooklyn,Vernon New Harvest,0,0,0.17
Brooklyn,Vernon Tandt Block Association,0,0,0.15
Brooklyn,Vernon/Throop Ave Block Association,0,0,0.04
Manhattan,Vesuvio Playground,17675,0,0.64
Queens,Veteran's Square,21450,0,0.1
Queens,Veterans Grove,7786,0,0.63
Staten Island,Veterans Park,10144,0,1.32
Queens,Veterans Plaza,3964,0,0.09
Brooklyn,Veterans Triangle,4693,0,0.03
Queens,Veterans' Circle,2002,0,0.1
Brooklyn,Victory Garden,0,0,0.05
Brooklyn,Victory Garden's Group,0,0,0.06
Bronx,Vidalia Park,25416,0,2.14
Manhattan,Vietnam Veterans Plaza,1069,0,0.73
Manhattan,Vincent F. Albano Jr. Playground,11265,0,0.35
Brooklyn,Vinegar Hill Community Garden,9,0,0.06
Bronx,Vinmont Veteran Park,15599,0,3.5
Bronx,Virginia Park,28755,0,0.92
Bronx,Virginia Playground,30090,0,0.46
Queens,Vito Locascio Field,22473,0,3.26
Manhattan,Vladeck Park,0,0,0.79
Queens,Vleigh Playground,31507,0,2.24
Bronx,Vogue Garden,130,0,0.05
Bronx,Volky Garden & Flowers,0,0,0.11
Staten Island,Von Briesen Park,5455,0,13.94
Manhattan,W 104th Street Garden,0,0,0.38
Manhattan,W 124th Street Community Garden,0,0,0.05
Manhattan,W 87th Street Garden,0,0,0.1
Manhattan,W. 111th St. Harlem Garden,234,0,0.12
Manhattan,Wagner Houses Pool,19226,0,1.64
Manhattan,Wagner Playground,9104,2500,1.27
Bronx,Wakefield Playground,18484,0,1.1
Manhattan,Wald Playground,6182,0,0.53
Staten Island,Walker Park,28768,0,5.28
Brooklyn,Walt L Shemal Garden,0,0,0.15
Brooklyn,Walt Whitman Park,8841,0,2.91
Manhattan,Walter Miller Iii Memorial Garden,0,0,0.02
Queens,Walter Ward Playground,10629,0,0.94
Bronx,Walton Park,6484,0,0.34
Bronx,Walton Slope,1686,0,0.55
Bronx,Walton Walk,3224,0,0.04
Manhattan,Wards Island Park,93184,0,176.58
Brooklyn,Warwick Street Greenery Glow Garden,0,0,0.04
Brooklyn,Washington Hall Park,49094,0,0.9
Manhattan,Washington Market Park,109883,0,2.15
Brooklyn,Washington Park (Brooklyn),28978,0,1.55
Bronx,Washington Park (Bronx),6677,0,0.52
Manhattan,Washington Square Park,222443,461502,9.75
Bronx,Washington's Walk,39578,0,4.64
Bronx,Waterfront Garden,0,0,0.27
Bronx,Watson Gleason Playground,47439,0,3.3
Bronx,Wave Hill,0,0,20.87
Queens,Wayanda Park,23599,0,2.55
Bronx,Webster Playground,24675,0,0.74
Brooklyn,Weeksville Playground,4366,0,0.3
Staten Island,Wegener Park,481,0,3.46
Brooklyn,Welcome Home Garden,0,0,0.06
Queens,Wellbrock Triangle,2711,0,0.01
Manhattan,West 111th St. People's Garden,120,0,0.11
Manhattan,West 186th Street Basketball Court,5554,0,0.12
Manhattan,West 4th Street Courts,7427,0,0.42
Bronx,West Bronx Recreation Center,11572,0,1.88
Bronx,West Farms Rapids,3187,0,1.02
Bronx,West Farms Soldiers Cemetery,455,0,0.68
Manhattan,West Harlem Piers,46157,0,4.71
Brooklyn,West Playground,16189,0,2.39
Queens,Westbourne Playground,80837,0,1.13
Staten Island,Westerleigh Park,14194,0,2.89
Staten Island,Westwood Park,2548,0,6.56
Bronx,Whalen Grove,9655,0,0.13
Bronx,Whalen Playground,2196,0,0.33
Staten Island,White Park,7159,0,0.92
Manhattan,White Playground,11710,0,0.68
Queens,Whitefish Triangle,3075,0,0.19
Queens,Whitestone Playground,22620,0,1.48
Queens,Whitey Ford Field,9976,0,3.62
Queens,Willets Point Playground,3117,0,1.15
Manhattan,William B. Washington Memorial Garden,0,0,0.08
Queens,William F Moore Park,8122,0,0.23
Manhattan,William F. Passannante Ballfield,4312,0,0.61
Manhattan,William Mccray Playground,7651,0,0.46
Brooklyn,William Sheridan Playground,12404,0,1.17
Queens,William Simmons Community Garden Club,1069,0,0.6
Bronx,Williamsbridge Oval,101609,0,19.75
Bronx,Williamsbridge Square,31461,0,1.4
Bronx,Willis Playground,13995,0,1.88
Brooklyn,Willoughby Playground,28642,0,0.91
Queens,Willow Lake Playground,21828,0,1.28
Brooklyn,Wilson Playground,9722,0,1.72
Queens,Windmill Community Garden,0,0,0.06
Brooklyn,Wingate Park,77532,0,5.89
Brooklyn,Winthrop Playground,31043,0,1.25
Brooklyn,Wnyc Transmitter Park,13296,0,6.61
Manhattan,Wnyc Transmitter Park,13296,0,6.61
Staten Island,Wolfe's Pond Park,111649,0,302.69
Bronx,Wood Park,4126,0,0.19
Bronx,Woodrow Wilson Triangle,468,0,0.1
Brooklyn,Woodruff Playground,13390,0,0.54
Brooklyn,Woods Playground,46784,0,1.44
Queens,Woodtree Playground,13834,0,1.03
Bronx,Woodycrest Community Garden,65,0,0.01
Manhattan,WorthSquare,2002,0,0.27
Manhattan,Wright Brothers Playground,32179,0,0.58
Brooklyn,Yak Playground,19507,0,0.44
Bronx,Yankee Stadium Garages/Lots,0,0,9.49
Queens,Yellowstone Park,27775,0,1.75
Bronx,Young Park,2620,0,0.44
Bronx,YouthVillage,10831,0,0.27
Manhattan,Yu Suen Garden,5,0,0.06
Bronx,Zimmerman Playground,30478,0,0.97
Brooklyn,Zion Triangle,7687,0,0.21
