boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Manhattan,Charlton Plaza,3773,0,0.04
Manhattan,Chelsea Green,1066,0,0.23
Manhattan,Chelsea Park,69804,1000,3.9
Manhattan,Chelsea Recreation Center,5189,0,0.39
Manhattan,Cherry Clinton Playground,7177,0,0.48
Manhattan,Cherry Tree Park,27081,0,0.95
Brooklyn,Chester Playground,21251,0,1.
Brooklyn,Chiarantano Playground,4463,0,0.21
Bronx,Chief Dennis L. Devlin Park,4370,0,0.52
Manhattan,Children's Garden,5,0,0.04
Manhattan,Children's Magical Garden,10,0,0.07
Staten Island,Christopher J. Igneri Playground,51500,0,1.15
Manhattan,Christopher Park,4428,0,0.19
Bronx,Church Triangle,1651,0,0.09
Bronx,Ciccarone Park,21991,0,0.55
Brooklyn,Citizens For A Better Community,3159,0,0.3
Manhattan,City Hall Park,77746,2500,8.8
Bronx,City Island Wetlands,286,0,8.01
Brooklyn,City Line Park,23876,0,6.05
Brooklyn,Clara's Garden,0,0,0.13
Bronx,Claremont Neighborhood Garden,0,0,0.19
Bronx,Claremont Park,130780,0,38.54
Bronx,Clark Playground,12337,0,0.72
Brooklyn,Classon Playground,9242,0,1.34
Brooklyn,Classon Playground,6122,0,2.98
Brooklyn,Classon Triangle,5358,0,0.21
Staten Island,Clawson Playground,6405,0,3.59
Queens,Clearview Park,533,0,6.05
Queens,Clearview Park Golf Course,56,0,110.93
Queens,Clearview's Tail,442,0,0.01
Queens,Clemens Triangle,546,0,0.01
Manhattan,Clement Clarke Moore Park,9906,0,0.49
Bronx,Cleopatra Playground,6698,0,0.62
Brooklyn,Clifton Pl Memorial Park And Garden,0,0,0.17
Manhattan,Clinton Community Garden,689,0,0.35
Queens,Clintonville Playground,13324,0,1.55
Staten Island,Clove Lakes Park,231845,0,193.42
Staten Island,Clove's Tail,3865,0,2.06
Brooklyn,Clumber Corner,1716,0,0.95
Bronx,Co-Op City Field,3166,0,3.4
Brooklyn,Cobble Hill Park,10888,0,0.59
Brooklyn,Coffey Park,87958,0,8.27
Brooklyn,Cohn Triangle,4680,0,0.07
Manhattan,Col. Young Playground,213884,0,6.42
Queens,Colden Playground,12273,0,1.47
Manhattan,Coleman Playground,14405,0,2.61
Bronx,Colgate Close,8405,0,1.87
Manhattan,Collect Pond Park,6235,0,0.99
